FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$105006.00,$105006.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$88002.00,$88002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$77604.00,$77604.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,$67008.00,$134016.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$62796.00,$62796.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$58002.00,$58002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$55008.00,$55008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,$50004.00,$100008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,$50004.00,$50004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,$44004.00,$44004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,$48000.00,$48000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,$130002.00,$130002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$93996.00,$93996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$46428.00,$46428.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,$110112.00,$110112.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,2,1,$110004.00,$220008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,2,1,$65004.00,$130008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,$162492.00,$162492.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0925,Photographer,Annual,1,1,$65424.00,$65424.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0744,Press Aide II,Annual,1,1,$51696.00,$51696.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0740,Press Aide I,Annual,1,1,$48000.00,$48000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,$118500.00,$118500.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,$95478.00,$95478.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,$116652.00,$116652.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,$72000.00,$72000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,$56592.00,$56592.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,$168996.00,$168996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$116652.00,$116652.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$116004.00,$116004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$75000.00,$75000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$72000.00,$72000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,$68502.00,$68502.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$99996.00,$99996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$75000.00,$75000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$73500.00,$73500.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$65004.00,$65004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,$61740.00,$61740.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,9,9903,Inspector General,Annual,1,1,$161856.00,$161856.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 14,10,1727,Information Analyst - IG,Annual,2,1,$51156.00,$102312.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,$83340.00,$83340.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,$71772.00,$71772.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,$75216.00,$75216.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 12,10,0645,Technical Support Administrator - IG,Annual,1,1,$44520.00,$44520.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,20,0641,Forensic Data Analyst,Annual,1,1,$81696.00,$81696.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,0629,Principal Programmer/Analyst,Annual,1,1,$85848.00,$85848.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,$44520.00,$44520.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 15,20,0305,Assistant to the Executive Director,Annual,1,1,$91476.00,$91476.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,0123,Fiscal Administrator,Annual,1,1,$75444.00,$75444.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$2646.00,$2646.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,9,9665,First Deputy Inspector General,Annual,1,1,$137052.00,$137052.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,$126624.00,$126624.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,GY 08,20,1368,Compliance Officer,Annual,2,1,$68652.00,$137304.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,2,1,$100080.00,$200160.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,1,1,$97164.00,$97164.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1216,Chief of Hiring Oversight,Annual,1,1,$93996.00,$93996.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,B 13,1,0308,Staff Assistant,Annual,1,1,$68028.00,$68028.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3093.00,$3093.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$340.00,$340.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,$126624.00,$126624.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,1260,Chief Investigator - IG,Annual,1,1,$93996.00,$93996.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,4,1,$90288.00,$361152.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 07,0,1221,Investigator II - IG,Annual,1,1,$64212.00,$64212.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,$58284.00,$58284.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,$55464.00,$55464.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3605.00,$3605.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,2,1,$68652.00,$137304.00
Local,3,OIG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3999.00,$3999.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3005,Administration,0,,1 00,9,9905,Budget Director,Annual,1,1,$169992.00,$169992.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3005,Administration,0,,1 00,9,9868,First Deputy Budget Director,Annual,1,1,$140004.00,$140004.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3005,Administration,0,,BX 15,20,0305,Assistant to the Executive Director,Annual,1,1,$91476.00,$91476.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,1 00,9,9656,Deputy Budget Director,Annual,1,1,$115740.00,$115740.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,1 00,9,9656,Deputy Budget Director,Annual,1,1,$113412.00,$113412.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,$90288.00,$90288.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,3 00,9,1124,Assistant Budget Director,Annual,2,1,$89340.00,$178680.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,GY 07,20,1105,Senior Budget Analyst,Annual,2,1,$64212.00,$128424.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,$61224.00,$61224.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,GY 05,20,1103,Budget Analyst,Annual,1,1,$64212.00,$64212.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,3 00,0,0229,Chief Revenue Analyst,Annual,1,1,$99672.00,$99672.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3050,Revenue and Expenditure Analysis,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$1969.00,$1969.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3055,Management Initiatives,0,,3 00,0,1127,Chief Performance Analyst,Annual,1,1,$104748.00,$104748.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3055,Management Initiatives,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,$66768.00,$66768.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3055,Management Initiatives,0,,GY 07,20,1125,Performance Analyst,Annual,2,1,$61224.00,$122448.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3055,Management Initiatives,0,,1 00,9,1120,Managing Deputy Budget Director,Annual,1,1,$124080.00,$124080.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3055,Management Initiatives,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3930.00,$3930.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3060,Compensation and Technical Processing,0,,1 00,9,9684,Deputy Director,Annual,1,1,$121644.00,$121644.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3060,Compensation and Technical Processing,0,,GY 08,20,0635,Senior Programmer/Analyst,Annual,1,1,$75036.00,$75036.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3060,Compensation and Technical Processing,0,,3 00,0,0601,Director of Information Systems,Annual,1,1,$112308.00,$112308.00
Local,5,OBM,0100,CORPORATE FUND,1005,OBM,2005,OBM,3060,Compensation and Technical Processing,0,,BX 15,20,0305,Assistant to the Executive Director,Annual,1,1,$69240.00,$69240.00
